comments,date,translated_comments,cleaned_comments
sabihin nio n po lht ng nalalaman nio at kung maari wag n po muna kayo bumalik delikado po buhay nio dito..,11/19/2025,"Tell me everything you know and if possible don't come back, your life is dangerous here..",tell everything know possible dont come back life dangerous
Ito na ito na..,11/19/2025,This is it..,
"sabhin muna sir lahat2 para matapos na ang lahat,,",11/19/2025,"tell everyone first so that everything is over,,",tell everyone first everything
mglabas kna ng mga video at evidence pra mas exciting na!,11/19/2025,come out with videos and evidence so it's more exciting!,come video evidence exciting
"Sana cong Zaldy Yung tungkol na naman sa pag kidnap ni tatay FPRRD,",11/19/2025,"I hope Zaldy is about the kidnapping of father FPRRD again,",hope zaldy kidnapping father fprrd
Season finale na..,11/19/2025,Season finale na..,season finale na
Medyo mahaba yung video pero honestly worth every minute kasi napakinggan ko talaga yung kabuuang paliwanag mo. Ang dami kasing nagbibigay ng opinion na hindi naman nakikita yung buong picture. Nakakagaan ng loob marinig na deretsong in-explain mo yung side mo nang walang paligoy. Mas lumilinaw tuloy yung issue para sa akin.,11/20/2025,The video is a bit long but honestly worth every minute because I really listened to your entire explanation. There are so many who give opinions without seeing the whole picture. It's a relief to hear that you directly explained your side without hesitation. The issue is getting clearer for me.,video bit long honestly worth every minute really listened entire explanation many give opinion without seeing whole picture relief hear directly explained side without hesitation issue getting clearer
Sana isiwalat mo rin magkano binayad nyo sa mga congressman na nag sign sa impeachment ni VP! Magkano binayad nyo sa mga Generals sa pag kidnap kay PRRD!,11/19/2025,I hope you will also disclose how much you paid the congressmen who signed the impeachment of VP! How much did you pay the Generals for kidnapping PRRD!,hope also disclose much paid congressman signed impeachment vp much pay general kidnapping prrd
Sec. Mina sana mag salita na din,11/19/2025,Sec. I wish I could speak,sec wish could speak
Please pakilabas na ng lahat! All evidence na,11/19/2025,Please everyone get out! All the evidence,please everyone get evidence
Apila nlang pud sir pati Ang pag kidnap Kay PRRD pati sa impeachment ni VP,11/19/2025,"Please also appeal, sir, for the kidnapping of PRRD as well as the impeachment of VP",please also appeal sir kidnapping prrd well impeachment vp
sa finale… mgbigay ka ng video Rep. Zaldy Co para wla ng kawala,11/19/2025,in the finale... give a video Rep. Zaldy Co for nothing to lose,finale give video rep zaldy co nothing lose
Mr co ipaliwanag mo na rin Ang papel ni bbm remulla sa pagkidnap Kay prrd,11/19/2025,"Mr. Co, please explain the role of bbm remulla in the kidnapping of prrd",mr co please explain role bbm remulla kidnapping prrd
Pwede po bang sa part 4 ang pagbukas po nang maleta???,11/19/2025,Can opening the suitcase be in part 4???,opening suitcase part 4
Nxt video sir Rep. Zaldy Co ilabas nyo na po lahat ....,11/19/2025,"Nxt video sir Rep. Zaldy Co, bring it all out....",nxt video sir rep zaldy co bring
"Kung pwede mag zoom meeting kayo ni Sen. Marcoleta, Cong. Kiko Barzaga bukas November 18 at i connect sa tv screen sa Edsa at sa Quirino grandstand, para wala na silang masabi na AI itong video nyo Sir Zaldy. Maraming salamat po",11/19/2025,"If you can have a zoom meeting with Sen. Marcoleta, Cong. Kiko Barzaga tomorrow November 18 and I will connect to the TV screen in Edsa and the Quirino grandstand, so that they can no longer say that this video of yours is AI Sir Zaldy. Thank you very much",zoom meeting sen marcoleta cong kiko barzaga tomorrow november 18 connect tv screen edsa quirino grandstand longer say video ai sir zaldy thank much
bilisan mo ang part 3 mamaya maunahan ka pa nila ingat nlng po sa buhay niyo salamat po ang nagsalita na kayo ng totoo Sana panindigan mo ito hanggang dulo Sana hind magbago ang mga sinabi sa ganitong paraan manlang makabawi kayo sa mamayang PILIPINO,11/19/2025,hurry up with part 3 later they will get ahead of you just be careful with your life thank you for speaking the truth I hope you will stand by it until the end I hope that what was said will not change in this way at least you can make up for the Filipino people,hurry part 3 later get ahead careful life thank speaking truth hope stand end hope said change way least make filipino people
"Sana mr co, lahat ng alam mong panggigipit sa mga Duterte isiwalat mo na din..sana lahat ng resibo, pati ebidensya (video o convo) ilabas nyo na din po.. Yaman din lang at inumpisahan nyo na.",11/19/2025,"I hope mr co, all you know about the pressure on the Dutertes will also be disclosed.. I hope all the receipts, including evidence (video or convo) will also be released.. It's just wealth and you've already started.",hope mr co know pressure dutertes also disclosed hope receipt including evidence video convo also released wealth youve already started
Salamat sir sa inyong katapangan.,11/19/2025,Thank you sir for your courage.,thank sir courage
Salamat po sa kanta nyo nasa tono po kayo. Ingat po kayo lagi hintayin ko po ulit ang sunod nyo kanta.,11/19/2025,"Thank you for your song, you are in tune. Take care, I'll wait for your next song again.",thank song tune take care ill wait next song
Keep safe po. Praying for you and your family.,11/19/2025,Keep safe po. Praying for you and your family.,keep safe po praying family
Truth and Justice shall always prevail,11/19/2025,Truth and Justice shall always prevail,truth justice shall always prevail
Zaldy Co wants to profit from FB so he cut this video into three I think.,11/19/2025,Zaldy Co wants to profit from FB so he cut this video into three I think.,zaldy co want profit fb cut video three think
Praying for your safety Cong. Zaldy. May the Lord God guide you always,11/19/2025,Praying for your safety Cong. Zaldy. May the Lord God guide you always,praying safety cong zaldy may lord god guide always
Ang kakapal ng mukha nitong mag pinsan…di natutulog Ang Diyos tandaan nyo yan,11/19/2025,The thick faces of this cousin...don't sleep God remember that,thick face cousindont sleep god remember
Better to burst it all out before it’s too late po! Hoping po sa susunod na video sana andun na lahat lahat pati yung sino sino talaga sila with the evidence po. Salamat po,11/19/2025,"Better to burst it all out before it's too late! Hoping that in the next video, everyone will be there, including who they really are with the evidence. Thank you",better burst late hoping next video everyone including really evidence thank
"Ninakawan na kayo ng bilyon bilyon harap harapan DDS, KAKAMPINK AT BBM pa din nasa isip nyo. Hindi ba pwede yung pilipinas isipin nyo. Dahil lahat naman tayo pilipino.",11/19/2025,"You have been robbed of billions of billions face to face DDS, KAKAMPINK AND BBM are still on your mind. Can't you think of the Philippines? Because we are all Filipinos.",robbed billion billion face face dd kakampink bbm still mind cant think philippine filipino
Oo mga shimenet Rep. Zaldy Co Ibulgar mo sino utak sa Signature campaign kay Inday Sara Duterte at yung mga cong sa wuadcom name drop mo na din kung involved...Confession ninyo na po ito...lahatin mo nah po...,11/19/2025,Yes shimenets Rep. Zaldy Co Reveal who is the mastermind of the Signature campaign to Inday Sara Duterte and drop the names of those in wuadcom if they are involved... This is your confession... share it all...,yes shimenets rep zaldy co reveal mastermind signature campaign inday sara duterte drop name wuadcom involved confession share
Ang laki ng pera tapos utang pa ng utang sa ibang bansa.. wala naman proyekto.. sure ipinambayad sa icc.,11/19/2025,The amount of money and then the loan in another country.. there is no project.. sure it was paid to the ICC.,amount money loan another country project sure paid icc
Sir basin naa kay nahibaw-an Sa The Hague Pag kidnap ni Tatay Digong,11/19/2025,Sir maybe it's known At The Hague when Tatay Digong kidnapped,sir maybe known hague tatay digong kidnapped
Pagkidnap po kay PRRD baka pwede nyung isalaysay kung sinong mastermind,11/19/2025,"Kidnapping of PRRD, maybe you can explain who is the mastermind",kidnapping prrd maybe explain mastermind
Tagal po ng part 4,11/19/2025,Time for part 4,time part 4
Isiwalat mo na lahat ng nalalaman mo. Pati yung binayad sa mga Congressman para pumirma sa impeachment ni VP,11/19/2025,Reveal everything you know. Even the one paid to the Congressmen to sign the impeachment of VP,reveal everything know even one paid congressman sign impeachment vp
Salute to you sir!,11/19/2025,Salute to you sir!,salute sir
Isiwalat mo na po lahat lahat!!!!,11/19/2025,Reveal everything!!!!,reveal everything
Maliit na rin ang ginagalawan mo isama mo na mga congressman na Kasama nyo na mga corrupt... Pinagkaisahan ka na rin nila at di Sila naniniwala sa mga sinasabi mo.,11/19/2025,You are living a small life together with the congressmen who are with you who are corrupt... They have united with you and they don't believe what you say.,living small life together congressman corrupt united dont believe say
"My main takeaway from this is that we have, yet again, another politician pointing fingers to look clean and innocent. There’s zero real accountability, no willingness to return the money, and no effort to help speed up the judicial process. It’s always the same PR.",11/19/2025,"My main takeaway from this is that we have, yet again, another politician pointing fingers to look clean and innocent. There’s zero real accountability, no willingness to return the money, and no effort to help speed up the judicial process. It’s always the same PR.",main takeaway yet another politician pointing finger look clean innocent there zero real accountability willingness return money effort help speed judicial process always pr
Kung wala po napunta sa inyo sir.. Paano po niyo ngayon ipaliwanag sa amin lahat.. Ang lahat ng asset niyo sasakyan panghimpapawid na nagkakahalaga ng humigit kumulang na 4.7 billion pesos,11/19/2025,If nothing has gone to you sir.. How can you now explain everything to us.. All your assets are aircraft worth approximately 4.7 billion pesos,nothing gone sir explain everything u asset aircraft worth approximately 47 billion peso
Sabihin Nanaman SA mga inutel na binayaran SA mga #du30 Yan para mag salita laban KY BBM tagal makulong SA mga hanggaw . Nakatulog pa Kaya mga un,11/19/2025,Tell the use of the use of the use of the use of the use of #du30 to speak against KY BBM long in prison in the fields. Sleep,tell use use use use use du30 speak ky bbm long prison field sleep
Tama Lang ginawa MO,11/19/2025,You did it right,right
Good job zaldy co,11/19/2025,Good job Zaldy what,good job zaldy
"Yung part 4 po please, paki banggit ang pag kidnapped po kay Tatay",11/19/2025,"Part 4 please, please mention the kidnapping of Dad",part 4 please please mention kidnapping dad
Sir napakarami nyong sasabihin ..,11/19/2025,Sir you have so much to say..,sir much say
ginawa mo naman kasing teleserye ang pagbubunyag mo.may part 1 pa at part 2 part 3 ilang part ba yan sir.ibuhos mo na lahat para paniwalaan ka ng tao.wala ka ba talagang naparte sa bilyon bilyon na naka maleta sir.,11/19/2025,"You made your revelation look like a teleserye. Is there part 1 and part 2, part 3, how many parts are there, sir. Pour it all out so that people will believe you. Did you really not part of the billion billion in the suitcase, sir?",made revelation look like teleserye part 1 part 2 part 3 many part sir pour people believe really part billion billion suitcase sir
"Dapat Cong,sabhn mo na ung totoo mgiging bayani ka pa ,dahil maliligtas mo pa ung buong pilipinas sa mga magnnakaw...PBBm at pinsan nya c romualdez mga Walang hiya tao ..",11/19/2025,"You should Cong, tell the truth, you will be a hero, because you will save the whole Philippines from thieves...PBBm and his cousin c romualdez are shameless people..",cong tell truth hero save whole philippine thievespbbm cousin c romualdez shameless people
Nagnanakaw tapos paawa effect pano nmn yung mga taong naapektuhan ng baha hanggang ngaun..tama na ang drama kailangang may managot..,11/19/2025,"The people who have been affected by the flood until now are stealing and then showing mercy, what is the effect?",people affected flood stealing showing mercy effect
"tutuo po yan sir pati po ako ay galit na galit saiyo at sa mga kasamahan mo, pero ngayon sa ginawa mong yan nawala ang galit ko at sana, ilahad mo na lahat nang nalalaman mo, i salot you sir, na intindihan kita",11/19/2025,"believe me, sir, I was also very angry with you and your colleagues, but now that you did that, I lost my anger and I hope, you will reveal everything that you know, I curse you, sir, that I understand you",believe sir also angry colleague lost anger hope reveal everything know curse sir understand
"Rep. Zaldy Co Cong, baka pwde mo nadin isali ang mga ICC at paano Nyo po na SET UP ang Dating pangulo. Maraming salamat po sapagsiwalat ng totoo... God Bless you and May God Protect you",11/19/2025,"Rep. Zaldy Co Cong, maybe you can involve the ICCs and how did you SET UP the Former president. Thank you very much for revealing the truth... God Bless you and May God Protect you",rep zaldy co cong maybe involve icc set former president thank much revealing truth god bless may god protect
God Bless and protect our country,11/19/2025,God Bless and protect our country,god bless protect country
Laglagan na pero the fact na lahat ay may na knowledge lahat kayo sangkot,11/19/2025,"It's gone but the fact is that everyone has knowledge, you're all involved",gone fact everyone knowledge youre involved
Sana may upload today late na kayo Cong Ng 1 day sa upload.,11/20/2025,I hope you have an upload today late Cong Ng 1 day to upload.,hope upload today late cong ng 1 day upload
wag nyo po kami gawing tanga. Alam mo na lahat ng mga sinasabi mo ay walang halaga lahat hanggat hindi ito sworn statement. Mag apostille ka nga!,11/19/2025,don't make us fools. You know that everything you say is meaningless until it is a sworn statement. Get an apostille!,dont make u fool know everything say meaningless sworn statement get apostille
Salamat Dating Cong Zaldy Co ilabas nyo n lahat Ng nalalaman nyo para sa Bayan God bless.,11/19/2025,"Thank you Former Cong Zaldy Co, bring out everything you know for the people, God bless.",thank former cong zaldy co bring everything know people god bless
@Cathy Binag maganda siguro ito ipalabas sa Rally,11/19/2025,@Cathy Binag it might be nice to air it at the Rally,cathy binag might nice air rally
AI video - Fake or not ? … See more,11/19/2025,AI video - Fake or not ? … See more,ai video fake see
good job sir i salute you to your brave estatements but still you have to face the charges of your participation for those corruptions in the country.,11/19/2025,good job sir i salute you to your brave estatements but still you have to face the charges of your participation for those corruptions in the country.,good job sir salute brave estatements still face charge participation corruption country
Ikaw ang itinuturo ng mga nag testify sa senado kaya dapat umuwi ka para mag defense sa mga allegations laban sau..wag sa social media kc hindi nman under oath ang mga kwento mo,11/19/2025,"You are what those who testified in the senate are pointing out, so you should go home to defend yourself against the allegations against you..don't go on social media because your stories are not under oath.",testified senate pointing go home defend allegation youdont go social medium story oath
"Mas mainam na ikanta niyo na po lahat ng nalalaman nio, para mautas man nila kayo , nailabas nio ang totoo .. maawa kayo sa mga mamamayan nio na sobrang lugmok na.. habang kayong mayaman na ..ay di pa din kuntento sa yaman na meron kayo..",11/19/2025,"It's better that you sing everything you know, so that they can order you, you have brought out the truth.. have mercy on your people who are so depressed.. while you are already rich.. you are still not satisfied with the wealth you have..",better sing everything know order brought truth mercy people depressed already rich still satisfied wealth
AI video - Fake or not ?,11/19/2025,AI video - Fake or not ?,ai video fake
Ilabas niyo na lahat ng ebidensya .ipapadampot na kayo ni buying sa interpol,11/20/2025,Bring out all the evidence. Buying will have you arrested by Interpol,bring evidence buying arrested interpol
God protect you for sharing the truth,11/19/2025,God protect you for sharing the truth,god protect sharing truth
Good job,11/19/2025,Good job,good job
tell all na rin po sana sa CONFIDENTIAL fund ni VP sara,11/22/2025,VP's CONFIDENTIAL fund is,vps confidential fund
God bless you always sir. Sana ilabas mo din kung sinong mga congressman ang binayaran gamit ang taxpayers money to impeach the VP.,11/19/2025,God bless you always sir. I hope you will also reveal which congressmen were paid with taxpayers money to impeach the VP.,god bless always sir hope also reveal congressman paid taxpayer money impeach vp
SANA po sabihin nyo din ang tungkol sa pag kidnap kay PRRD at sa impeachment ni VP sara.,11/19/2025,I HOPE you also tell about the kidnapping of PRRD and the impeachment of VP Sara.,hope also tell kidnapping prrd impeachment vp sara
Ikanta mo naman po ung mga kasama mong congressman na nakinabang.... Idamay mo na po lahat,11/19/2025,Please sing about your fellow congressmen who benefited.... Empathize with everyone,please sing fellow congressman benefited empathize everyone
Di po ito AI! Period!,11/19/2025,The poor toy I am I! Foleeard!,poor toy foleeard
"Iupload nyo na po lahat ng ebidensya at lahat ng nalalaman nyo bago pa kayo matunton , para naman kahit papano natulungan mo ang bansang pilipinas ,taong bayan na maresolba ang lahat ng katiwalian sa gobyerno, sa gnyang paraan mapapatawad ka namin",11/19/2025,"Please upload all the evidence and everything you know before you are tracked down, so that somehow you helped the Philippines, the people of the country to solve all the corruption in the government, that way we can forgive you.",please upload evidence everything know tracked somehow helped philippine people country solve corruption government way forgive
"sino kayang mambabatas ang pwedeng magpasa ng batas na bawal mag labas ng ebidensya na gumagamit ng script dapat lahat on the spot, doon natin malalaman kung tunay,",11/19/2025,"who can be a legislator who can pass a law that prohibits the release of evidence that uses a script, everything must be on the spot, that's when we will know if it's real,",legislator pas law prohibits release evidence us script everything must spot thats know real
What does it profit a man to gain the whole world but loses his soul?,11/19/2025,What does it profit a man to gain the whole world but loses his soul?,profit man gain whole world loses soul
"Protect Zaldy Co and his family. Your family proud of you,sa pagsisiwat mo.Fellow Pilipino will pray for your safety.",11/19/2025,"Protect Zaldy Co and his family. Your family proud of you,sa pagsisiwat mo.Fellow Pilipino will pray for your safety.",protect zaldy co family family proud yousa pagsisiwat mofellow pilipino pray safety
"Sir, during last election, may nangyayari bang dayaan esp. Sa senatorial candidates?",11/19/2025,"Sir, during the last election, was there any cheating esp. To the senatorial candidates?",sir last election cheating esp senatorial candidate
Pano naging AI yan mga libat ba kayo?,11/19/2025,"How did that become AI, are you crazy?",become ai crazy
later na ang pagluluto ng dinner. marites muna aq dito,11/19/2025,cooking dinner later. let's go here first,cooking dinner later let go first
Can we all Filipinos unite already to stop all the corruption. We deserve better.,11/19/2025,Can we all Filipinos unite already to stop all the corruption. We deserve better.,filipino unite already stop corruption deserve better
"Ang challenge namin kay Rep. Zaldy Co ,.isiwalat mo po paano ang nangyaring porsyento ng mga Tungressman sa ghost project.,magkano ang bawat na nakuha lahat ng mga pumirma sa impeachment.,lalo na ito mga Buwayang Tuwadcom.",11/19/2025,"Our challenge to Rep. Zaldy Co,.please reveal how the percentage of Tungressmen in the ghost project happened.,how much did each of those who signed the impeachment get.,especially Buwayang Tuwadcom.",challenge rep zaldy coplease reveal percentage tungressmen ghost project happenedhow much signed impeachment getespecially buwayang tuwadcom
"Protect him so he could testify and tell the truth to the court but also, to hold him accountable for what he has done. He is just as guilty, as those who stole, regardless of his explanations.",11/19/2025,"Protect him so he could testify and tell the truth to the court but also, to hold him accountable for what he has done. He is just as guilty, as those who stole, regardless of his explanations.",protect could testify tell truth court also hold accountable done guilty stole regardless explanation
https://www.facebook.com/share/r/1742VuNtk3/,11/23/2025,https://www.facebook.com/share/r/1742VuNtk3/,httpswwwfacebookcomsharer1742vuntk3
Ipa notarize na lahat sa embassy para pwedi gamitin ebidensya. Magpa interview or live sa mga TV contact mo Net25 o kung sino man mas willing para di sila magkandaugaga ka salo at paliwanag alibi sa lahat ng sasabihin mo.,11/19/2025,"Have everything notarized at the embassy so it can be used as evidence. Do an interview or live with your TV contacts, Net25 or whoever is more willing so that they don't argue with you and explain alibi for everything you say.",everything notarized embassy used evidence interview live tv contact net25 whoever willing dont argue explain alibi everything say
PARANG AWA MO NA ZALDY CO. ILABAS NA LAHAT NG EBIDENSYA NA MERON KA!,11/19/2025,"Pity you, Zaldy Co. RELEASE ALL THE EVIDENCE YOU HAVE!",pity zaldy co release evidence
Sir ila as nyo na po kong sino nakinabang sa pera 100 billion mga congressman ika ta mo na.,11/19/2025,"Sir, you know who benefited from the 100 billion money, the congressmen.",sir know benefited 100 billion money congressman
"Do it live, on your next public statement",11/19/2025,"Do it live, on your next public statement",live next public statement
Salute to you Sir,11/20/2025,Salute to you Sir,salute sir
"Bket pa konti konti lng,mag live ka at sbihin mo na lahat lahat ng minsanan bago mahuli ang lahat.bka bukas makalawa ipapatigok ka na nila at least nasabi muna lahat.wala talaga maganda kahihinatnan ang paggawa ng masama sa buhay na e2 nde kailangan ng maraming pera ang importante meron kang peace of mind.",11/19/2025,"Just a little bit more, go live and tell everyone all at once before everyone gets caught. Maybe tomorrow they will make you do something and at least they said everything first. There are really no good consequences for doing bad things in life, you don't need a lot of money, the important thing is that you have peace of mind.",little bit go live tell everyone everyone get caught maybe tomorrow make something least said everything first really good consequence bad thing life dont need lot money important thing peace mind
Okay. Kelangan mo na umuwi at manumpa para magamit na evidence para makulong na kayo ng sabay sabay bago magpasko at ibalik nyo lahat ng ninakaw sa kaban ng bayan!,11/19/2025,Okay. You need to go home and swear to be used as evidence so that you can go to jail at the same time before Christmas and return everything that was stolen to the public treasury!,okay need go home swear used evidence go jail time christmas return everything stolen public treasury
"Good for you kasi inilabas mo ang mga baho nyo na matagal nyo nang kinikimkim at tinago, nagawa mo man ang paglabas ng mga expose na iyan, ikaw, si Martin at si bbm at iba pa dyan, lahat kayong nasasangkot, ay dapat parin kayong managot, hindi iyan ibig sabihin na inilabas mo ang baho nyo, ay ligtas kana, kasama ka pa rin sa dapat mapaparusahan, AMEN",11/19/2025,"Good for you because you released your stench that you have been harboring and hiding for a long time, even if you were able to release those exposures, you, Martin and bbm and others there, all of you involved, you should still be held accountable, that does not mean that you have released your stench, it is safe, you are still among those who should be punished, AMEN",good released stench harboring hiding long time even able release exposure martin bbm others involved still held accountable mean released stench safe still among punished amen
"Sad reality lahat ng pinagtatakpan ka dati sya na ding nagdidiin sayo ngayon, double time ang Congress para sayo lahat isisi. Malaki ang naging kasalanan mo oo pero wag mo hayaan na ikaw at sayo lang ang sisi ng lahat ""accountability"" dapat lahat ng kasabwat, tama lang na ibinunyag mo lahat sana ay makamit ng lahat ng Pilipino except the corrupt officials ang hustisya.",11/19/2025,"Sad reality, everyone who covered you before is also pressuring you now, Congress is double time for you to blame everything. You have done a lot of sin, yes, but don't let it be you and you alone who are to blame for everything ""accountability"" everyone should be complicit, it is right that you have revealed everything, I hope that all Filipinos except the corrupt officials will get justice.",sad reality everyone covered also pressuring congress double time blame everything done lot sin yes dont let alone blame everything accountability everyone complicit right revealed everything hope filipino except corrupt official get justice
Ingat po kayo alam ko na isa ka rin sa ginamit ng mga marcos para sa pagkamkam ng pera ng bayan sabihin mo na lahat atleast man lang makabawi ka sa taong bayan.alam po namin na may mali po kayo ito na yong pagkakataon para matigil ang kanilang kasakiman.wag po kayo pahuli sa kanila baka matulad po kayo kay guteza ingat.,11/19/2025,"Be careful, I know that you are also one of the people used by Marcos to steal the people's money, tell them that you can at least get back to the people. We know that you are wrong, this is your chance to stop their greed.",careful know also one people used marcos steal people money tell least get back people know wrong chance stop greed
Alam po nmin nha sangkot k din pero slamat p din at my awa kpa s mga ordinaryong tao at s mga bansa sana isiwalat mo din kung sino ngpakidnap KY tatay digong at ngpa impeach KY Sara sabihin n lhat pra s ikabubuti ng bansa nto sobrang gulo at Hirap nha,11/19/2025,"We know that I am also involved, but thank you and I have mercy on the ordinary people and the countries. I hope you will also reveal who kidnapped KY father Digong and impeach KY Sara. Tell everyone for the good of the country, it is very messy and difficult.",know also involved thank mercy ordinary people country hope also reveal kidnapped ky father digong impeach ky sara tell everyone good country messy difficult
BAYANI SI ZALDY CO… See more,11/19/2025,BAYANI SI ZALDY CO… See more,bayani si zaldy co see
keep safe sayo sana managot na tlg ang totoong my sala mag iingat k pra smin n humihingi ng hustisya laban s koraption,11/19/2025,"keep safe, I hope you will be held accountable for the real fault of mine, be careful and ask for justice against corruption",keep safe hope held accountable real fault mine careful ask justice corruption
Yung mga pera pa na pina mudmod nyo pra sa impeachment ni vp sarah.,11/19/2025,The money that you have already paid for the impeachment of vp sarah.,money already paid impeachment vp sarah
The truth will set you free,11/19/2025,The truth will set you free,truth set free
What shall it profit a man if he shall gain the whole world but disowned by his own family.,11/19/2025,What shall it profit a man if he shall gain the whole world but disowned by his own family.,shall profit man shall gain whole world disowned family
Kaabang abang sana may video kana ilabas cong.,11/19/2025,I wish I could release a video.,wish could release video
Take your oath. And face the investigation.,11/19/2025,Take your oath. And face the investigation.,take oath face investigation
"Let the TRUTH sets you free, be transparent, name the persons accountable, accounting of all anomalous transactions with presentation of hard verfiable evidences and be the person that bares it all to give justice to the people and the nation who suffered the most from this betrayal of reposed public trust!",11/20/2025,"Let the TRUTH sets you free, be transparent, name the persons accountable, accounting of all anomalous transactions with presentation of hard verfiable evidences and be the person that bares it all to give justice to the people and the nation who suffered the most from this betrayal of reposed public trust!",let truth set free transparent name person accountable accounting anomalous transaction presentation hard verfiable evidence person bares give justice people nation suffered betrayal reposed public trust
"Nakagawa Ng mali Ngayon Tinatama Dyos nga marunong mag patawad Pano pa mga ordinaryong tao, 10 lng utos Ng Dyos Sana nasunod at Sumunod,",11/19/2025,"Did Something Wrong Now Being Corrected God knows how to forgive How about ordinary people, just 10 commands of God I hope they follow and obey,",something wrong corrected god know forgive ordinary people 10 command god hope follow obey
BAYANI SI ZALDY CO,11/19/2025,BAYANI SI ZALDY CO,bayani si zaldy co
ilabas nyu na po lahat ng ebidensya kawawa mga pilipino .. kng totoo man ang lahat ng to bababa ang presidente na pilipinas bagsak na ang gobyerno ng pilipinas mas maraming pilipino ang maghihirap,11/19/2025,"Bring out all the evidence, poor Filipinos.. if all of this is true, the Philippine president will step down, the Philippine government will fail, and more Filipinos will suffer.",bring evidence poor filipino true philippine president step philippine government fail filipino suffer
"ibalik mo ang pera namen ng bayan, at pagbayadan mo ng malaki ang kasalanan mo sa bayan pati kay PRRD!!!!!!",11/19/2025,"return our money to the people, and pay a lot for your sin to the people and to PRRD!!!!!!",return money people pay lot sin people prrd
What is this?,11/19/2025,What is this?,
Umuwi kana sir. Dito mu patunayan lahat nang yan. Pero doble Ingat ka kc may sa demonyo mga kinalaban mu.,11/19/2025,Go home sir. Here you prove all that. But be doubly careful because the ones you fight are from the devil.,go home sir prove doubly careful one fight devil
Sabhin mo na at ilabas po ang lahat kc ipapatay ka nila mabigyan malang ng katarungan mga namatay sa baha,11/19/2025,Say it and bring everyone out because they will kill you so that justice can be given to those who died in the flood,say bring everyone kill justice given died flood
Pak yu!,11/19/2025,Pak yu!,pak yu
sabihin mo na lahat cong,11/19/2025,tell everyone cong,tell everyone cong
Cong salamat. Kapag pinagpatuloy mo ito maraming Pilipino ang natulungan nyo.,11/19/2025,"thank you If you continue this, you have helped many Filipinos.",thank continue helped many filipino
